14:11:48 HHC02292I Inst '97'   count       163777 ( 0%) time         1479 (  0.009031) XI    0(0),0                 exclusive_or_immediate
14:11:48 HHC02292I Inst 'AC'   count       160480 ( 0%) time          717 (  0.004468) STNSM 0(0),0                 store_then_and_system_mask
14:11:48 HHC02292I Inst '4B'   count       148554 ( 0%) time         1295 (  0.008717) SH    0,0(0,0)               subtract_halfword
14:11:48 HHC02292I Inst 'F2'   count       143675 ( 0%) time         1739 (  0.012104) PACK  0(1,0),0(1,0)          pack
14:11:48 HHC02292I Inst 'BD'   count       137119 ( 0%) time         1197 (  0.008730) CLM   0,0,0(0)               compare_logical_characters_under_mask
14:11:48 HHC02292I Inst 'BB'   count       134164 ( 0%) time         1284 (  0.009570) CDS   0,0,0(0)               compare_double_and_swap
14:11:48 HHC02292I Inst 'B1'   count       124074 ( 0%) time         1078 (  0.008688) LRA   0,0(0,0)               load_real_address
14:11:48 HHC02292I Inst '82'   count       109074 ( 0%) time         1291 (  0.011836) LPSW  0(0)                   load_program_status_word
14:11:48 HHC02292I Inst '44'   count       102438 ( 0%) time         1157 (  0.011295) EX    0,0(0,0)               execute
14:11:48 HHC02292I Inst 'AF'   count        99187 ( 0%) time          957 (  0.009648) MC    0(0),0                 monitor_call
